member_id,ssn,mrn,first_name,last_name,email,city,state,zip,legacy_account
100000000,500-10-1000,mrn00000,Ava,Reed,user0@example.com,Austin,TX,73301,ACCT-900
100000001,501-11-1001,mrn00001,Ben,Shaw,user1@example.com,Austin,TX,73302,ACCT-901
100000002,502-12-1002,mrn00002,Cara,Tran,user2@example.com,Austin,TX,73303,ACCT-902
100000003,503-13-1003,mrn00003,Dan,Underwood,user3@example.com,Austin,TX,73304,ACCT-903
100000004,504-14-1004,mrn00004,Eve,Vance,user4@example.com,Austin,TX,73305,ACCT-904
100000005,505-15-1005,mrn00005,Finn,West,user5@example.com,Austin,TX,73306,ACCT-905
100000006,506-16-1006,mrn00006,Gail,Xu,user6@example.com,Austin,TX,73307,ACCT-906
100000007,507-17-1007,mrn00007,Hugo,York,user7@example.com,Austin,TX,73308,ACCT-907
100000008,508-18-1008,mrn00008,Ivy,Zane,user8@example.com,Austin,TX,73309,ACCT-908
100000009,509-19-1009,mrn00009,Jack,Ames,user9@example.com,Austin,TX,73310,ACCT-909
