member_id,ssn,mrn,first_name,last_name,email,city,state,zip,legacy_account
289467148,676-97-0861,9zr2svv2,Nu,Merritt,nu.merritt@example.net,Raleigh,NC,27601,836c1ed7b9000fc5263f0bbcf15321cc5b2187bc9b7a46ad12efa10a2d67a7d5
243396886,977-34-0754,a0ccue85,Christoper,Woodard,christoper.woodard@corp.example.com,St. Louis,MO,63101,25c6a652be7197bcec302ac6effb466750caa9fb9621d7e2470a8fe1f2fb9cab
835995586,774-70-2468,elu92rbo,Jeanene,Mitchell,jeanene.mitchell@mail.example.com,Philadelphia,PA,19101,4d074976182ed9db47a8ad7ae71319ed1018042e9c7427da8150f14dcf1f9866
029661349,125-38-2088,81gu1xwh,Robbie,Swanson,robbie.swanson@mail.example.com,New York,NY,10001,f9de0d2930246994e4484e245e6f88591441bfa2d51998b7c12f57e5ae4c8e49
398056721,222-41-8208,862wrm58,Piedad,Walsh,piedad.walsh@example.org,Baltimore,MD,21201,008197102bd807028558b9f3f37a134acc7edd5d06fd771f6b66f496216421db
698510607,164-29-6932,2oiy4noh,Shiloh,Knowles,shiloh.knowles@mail.example.com,Jacksonville,FL,32201,d9f88eb4354da2c213a35bbf273b268b43cca970a0f42c289ad619eb475e94ad
641705259,641-21-4534,3v6j4z80,Myron,Middleton,myron.middleton@example.net,Arlington,TX,76001,addf0ee7bce44f680fce04000e1fc8afe6f68ac0c53d391a12f88641cceb008f
095142213,386-90-9908,1l1r7rbd,Russell,Mcguire,russell.mcguire@example.org,Cleveland,OH,44101,fa75b8b3c99907bee06ebaba3453358594ea19e755e811b9a067c21ab0999b59
566365253,002-53-7000,ugu534l4,Trula,Boyle,trula.boyle@example.net,Louisville,KY,40201,e960fd016bc006ba8ed57002661318112b714fd5a1c741535cf6073ba2ade480
341074797,415-32-4831,n4y9iwdw,Shena,Powell,shena.powell@corp.example.com,Indianapolis,IN,46201,8538bc1340e3dcd7d6a94ce00dd350eac773ae49e08424a36689b20f2799d32b
